trial LL w1 w2 p1 kappa delta 
0 8187.317138838527 0.029085503754939804 0.3374751131767425 0.31495872493712673 1.0001441848138402 0.10042311838026095
1 8088.792338535307 0.021862361824573993 0.27276378087317593 0.27530543741065555 1.0000016344559612 0.04358274466801141
2 8119.120494722192 0.04743197529268638 0.29166384100085135 0.3579051294115789 1.0000057030266944 0.054328689676306205
3 7957.502810546122 4.012625996811406e-07 0.2802663536932553 0.2604824837705008 1.0000022075533732 0.08667092148432734
4 8202.741677945909 0.015325619344760308 0.3174635718484443 0.31560397108804533 1.0000010355466482 0.11799298265972123
5 8091.336187692651 0.010019261901452399 0.3393116672586086 0.3382774841096023 1.102291265544053 0.15399091505177032
6 8011.658253775518 0.030174607623598713 0.2877169411168427 0.34935000481539374 1.000453081535645 0.08505540387645874
7 8139.604603412522 0.05794037966168182 0.4854819762993414 0.5775131477693675 1.0000011683470644 0.17601042590506197
8 8088.299980950177 0.02277518714513714 0.25755478885466027 0.29313583790426967 1.00041106392763 0.08476311679388844
9 7907.441780116521 0.049278065665390086 0.3088222080202746 0.4410913682420647 1.0000097379590625 0.16639872976063652
10 8130.864979844835 0.017940134203374584 0.2617110216457721 0.2611492997940661 1.08979992078223 0.07929277368554982
11 8182.372124194935 0.031463404885105184 0.2989423110048847 0.3106104204627947 1.0000077085557297 0.07402647629979471
12 7938.382693975727 0.049497738620242725 0.3475882078707712 0.47784930066694437 1.0000032652354103 0.14297469168844504
13 8251.025941029295 0.037930008795579784 0.2722908860883006 0.3223711258793145 1.0007037554165121 0.11851596599373208
14 8309.70061945645 0.0429232059617581 0.34360665260002393 0.3584691307919507 1.0000023789782666 0.09083034330734617
15 8057.452479504704 0.030546293137135618 0.26713491059720623 0.3765315743313177 1.0000014128403627 0.09149565381084451
16 8127.398222987458 0.057599597762105215 0.31777999651824873 0.42229242998221356 1.0044697070016897 0.10757047915874327
17 7519.926110258636 0.011610445011334439 0.2911751637107493 0.36557277380044423 1.0001114952458505 0.1840809739869521
18 7840.34658060181 0.013680897439055663 0.31860893586574013 0.3785674314177388 1.0918127991473658 0.182928441305847
19 8225.370580427807 0.03924972382947964 0.31579939347335007 0.35175202728751986 1.0000080004908651 0.11680865027855596
20 8278.257502013348 0.0001170826485833004 0.32376260051397987 0.27593337510963145 1.000052990799822 0.13993502839539745
21 7996.7600877984905 0.055476874178355395 0.3701406673067689 0.521521741760407 1.000000949748095 0.12672136265734962
22 8131.82290016386 0.05249351016493977 0.2849635103765826 0.34818924604484064 1.0001238040479448 0.030725176535641916
23 8036.049802121086 0.031884514473810965 0.31739122971341843 0.3728702348555291 1.0613106619921602 0.1203252585614224
24 7871.390803608605 0.04820726855601175 0.3040541333877592 0.48363588358630255 1.0003239048242614 0.11334823181844252
25 8121.21004069081 0.02200504448398583 0.30305671722027555 0.2879573426917125 1.0009747864522065 0.06580241765966335
26 8111.528112387311 0.03692369731880799 0.3056818432513693 0.3580987949685691 1.000090246129047 0.08298679488571072
27 8044.205440981826 0.009649201002730265 0.22344122250565565 0.20925275285681422 1.0000002611754715 0.06324228316174937
28 8186.951550174105 0.05719249907501378 0.36950930976909957 0.5046833050439047 1.0000056465508564 0.13248529577906298
29 8097.164109628892 0.014059352529691208 0.3068086463139544 0.26301975206801237 1.0001224529948745 0.07431202182408538
30 8002.018581077197 0.06751827438277577 0.30522165216234853 0.4309648623643986 1.0000043269348238 0.04934277041065362
31 8475.37371820166 0.021308200373702773 0.2797131011137118 0.2380787755371989 1.0000012706443362 0.06482158820485442
32 8094.263556353673 0.050898983679207456 0.3439680973316284 0.45634385682361994 1.0000105439443634 0.12850654992801347
33 8338.285170963272 0.048629424544364995 0.317778688636004 0.39176450262093737 1.0000090347219077 0.06363746261186753
34 8129.312528109496 0.015410151670653892 0.3994031772361854 0.37952532599792804 1.0306564030198189 0.17666691468335685
35 8097.81402542678 0.05011637461447046 0.29914775108135794 0.44698500586511075 1.0000098289898192 0.17422430126440933
36 8001.927653426324 0.02614981615225839 0.30778501413342363 0.3779928036214733 1.0000009618465984 0.1621708851088349
37 8265.014043793268 0.043337420873842784 0.34867411443728263 0.36238734702629294 1.000010605257445 0.0796364804039089
38 8198.708632546066 0.02763388022498262 0.3316618528492054 0.3680344300708985 1.0000061757870438 0.1735835933479665
39 8068.219260275955 0.05226815186348845 0.31103400432904776 0.3969136992456898 1.0004879066680792 0.07297960122832667
40 8049.921726295725 0.027632134904925717 0.27921984922194587 0.33544013164686737 1.0005766673910403 0.08870303197860223
41 8148.467887392197 0.010109145659637693 0.29247669736779247 0.2684528604252389 1.0000010105073773 0.10290929136342074
42 8223.775846759776 0.029551772498850278 0.3049700820473257 0.35329599910994786 1.0005565471817734 0.12306024347629627
43 8209.510681093248 0.04865271868248288 0.3180182837928099 0.38463862119454517 1.000878463457221 0.07800693234397571
44 8129.220002167505 0.009738181190877136 0.3002079919388992 0.30377650580746035 1.0000004970432457 0.1324956734434236
45 8234.230641828059 0.07767997778574458 0.3521225247043387 0.5205896781245343 1.0000347637659714 0.0806851760555791
46 8141.84236474019 0.044180286603740675 0.34503467050455494 0.4037510415295092 1.0000109629554705 0.07715889259244751
47 8144.983823856191 0.027994600987469077 0.29564977062177056 0.31339999437745136 1.000875027219414 0.05908158342588647
48 8223.87943424907 0.022449286628463218 0.3193668027442522 0.2786662991503958 1.0000065515904943 0.07983576530324575
49 8277.980979198235 0.029250156152287026 0.32021291014120573 0.3649082910369596 1.000017716932124 0.11712118029025012
