trial LL w1 w2 p1 kappa 
0 7477.997485067578 0.062361034787735456 0.3553980180198271 0.47734889227717237 3.517457425134904
1 7126.764820513505 0.04818686510360527 0.3282093060603755 0.49475285219702453 3.50260979807659
2 7398.1502602210885 0.049333862697976655 0.3596685115292846 0.5200103188579175 3.619593703306759
3 7280.470807801297 0.06783527025914417 0.3555990279567569 0.5684942616522418 3.328418986077712
4 7356.576797710256 0.042003083936670814 0.3242313614245652 0.4527854945437549 3.575751907769086
5 7224.254748054678 0.05749292122047335 0.28699194219299523 0.49877083202871897 3.0954909479259642
6 7458.567915694054 0.050232705103577635 0.3440428237377487 0.46696111294967774 3.379741996353781
7 7358.0900922759265 0.06209378688829502 0.34438546153473226 0.5037331388156283 3.6747847873761295
8 7288.3780885068345 0.059245032719022005 0.36559972312071676 0.5434518366073026 3.619099666440797
9 7011.246415850307 0.05000529074710332 0.30076467687796893 0.4515920558033974 3.8560341858935976
10 7541.798356526555 0.07393653061298522 0.4230693279185572 0.5848503193602539 3.590441650410691
11 7160.882451098362 0.0817900389207512 0.37852637403177725 0.6746919070370068 3.5076776213615304
12 7247.445628849928 0.06451068738736432 0.35176090458059034 0.5214522229189038 3.7226774072706
13 7300.495934761916 0.07229548446103377 0.3996075196916918 0.5776405348336326 3.598000284576604
14 7157.730410281879 0.0577298291029228 0.34018021131857096 0.5870756725278966 3.4707649779822423
15 7252.381727900433 0.05324130424023067 0.31460200986799314 0.5082764033691032 3.7031228695413616
16 7138.2259382537795 0.06189113817947729 0.40321606813830363 0.5992067104239996 3.7804807989421203
17 7108.415463658124 0.04917040848877578 0.32489952910529957 0.5365985702190228 3.8512406870648577
18 7554.264390264393 0.07349628050176168 0.38121527771512925 0.6168535379616704 3.4269636761555584
19 7236.098609111088 0.06490356994879651 0.39625150025630135 0.579332628320945 3.436486604156029
20 7161.764060238995 0.04969864472052899 0.3554055964396624 0.6107994275793749 3.5725522597862276
21 7354.385528652446 0.06068295075563961 0.36608115478143993 0.558690931942493 3.3129218523130595
22 7439.034809152462 0.05893161594785847 0.3480807957129265 0.5117193949810995 3.645187404202475
23 7282.155639330605 0.0701534217513589 0.35718866457499654 0.5513039306521977 3.453928762832358
24 7153.2130303005015 0.06928950564831732 0.39836966183600037 0.6341320718460594 3.9899194928362207
25 7403.5287615195475 0.044844328096725145 0.3413485145535181 0.47519646763618983 3.5808972755158344
26 7230.492096587245 0.05686461563466195 0.4019556329339184 0.6046331122081544 3.555800913438306
27 7224.103076255341 0.05531735738042098 0.35181304761672305 0.5674208713498081 3.2091195480820343
28 7292.062258952437 0.04385408654476587 0.3300356403030712 0.49090002658226184 3.2083108288670106
29 7025.063397055298 0.042634715097418965 0.3234452099116561 0.5076327162827561 3.788050763145321
30 7358.808987654171 0.05952658098639054 0.3557226356986498 0.5291638345937245 3.2666894150100263
31 7330.523401918321 0.05676956897400747 0.3794228904783867 0.5614642327328025 3.6731793503706105
32 7277.433560935467 0.06467842568538328 0.3706771573270441 0.5357816588005705 3.397193537265807
33 7289.98631716103 0.07407086539163009 0.3581828411685329 0.5721021195749277 3.2448463638270604
34 7028.122962629426 0.06284238776371637 0.3659360378338241 0.6360152549003497 3.971337027524347
35 7505.716114425071 0.07405502743601138 0.3782613514368278 0.5601115433962206 3.318504060485567
36 7114.097467334367 0.0829856417359098 0.40141905387170024 0.712398939003456 3.1016685654927367
37 7302.745273123598 0.054385275122449575 0.3536452538983106 0.5718540077155705 3.5302486228098497
38 7331.209717183629 0.044612565860548584 0.36377705305048375 0.4910365026655925 3.6170016557527087
39 7186.260141881266 0.036979054011488745 0.3178338542984204 0.45807675715792123 3.4013957339679193
40 7248.411840703208 0.08434409301544521 0.45278922141446454 0.6770882216156343 3.7543301838392678
41 7262.592211052042 0.03990362737029751 0.3236404869733637 0.44015626084264486 3.543215211367517
42 7150.32048961605 0.05566438042890838 0.3390451997720914 0.4927222621376443 3.6791232488207735
43 7192.816950100977 0.03837724624338957 0.3234879373328245 0.4920665263725094 3.6548938842790015
44 7401.172953199515 0.05161830105667226 0.39386145880562295 0.5429721248212869 3.435460648036974
45 7267.06918179375 0.07332476821409928 0.4267928124267176 0.6392222890012927 3.7979627427541733
46 7008.792125368468 0.039288321505345856 0.3336959388995061 0.5012278516749343 3.641841687121469
47 7086.341705968843 0.054769137215716565 0.3300893100185641 0.5314084832578014 3.6735007577270933
48 7436.993629290039 0.05492952498264827 0.2819427778638514 0.4877305239395772 3.3048349029693194
49 7217.567251084417 0.06454592964372068 0.3929897356002469 0.6013778255234328 3.5710802065794525
